Natureza,Mes,Ano,Regiao,Ocorrencias
ROUBO DE VEÍCULO,Jul,2021,Araçatuba,2
ROUBO DE VEÍCULO,Ago,2021,Araçatuba,7
ROUBO DE VEÍCULO,Set,2021,Araçatuba,1
ROUBO DE VEÍCULO,Out,2021,Araçatuba,4
ROUBO DE VEÍCULO,Nov,2021,Araçatuba,3
ROUBO DE VEÍCULO,Dez,2021,Araçatuba,4
ROUBO A BANCO,Jan,2021,Araçatuba,0
ROUBO A BANCO,Fev,2021,Araçatuba,0
ROUBO A BANCO,Mar,2021,Araçatuba,0
ROUBO A BANCO,Abr,2021,Araçatuba,0
ROUBO A BANCO,Mai,2021,Araçatuba,0
ROUBO A BANCO,Jun,2021,Araçatuba,0
ROUBO A BANCO,Jul,2021,Araçatuba,0
ROUBO A BANCO,Ago,2021,Araçatuba,1
ROUBO A BANCO,Set,2021,Araçatuba,0
ROUBO A BANCO,Out,2021,Araçatuba,0
ROUBO A BANCO,Nov,2021,Araçatuba,0
ROUBO A BANCO,Dez,2021,Araçatuba,0
ROUBO DE CARGA,Jan,2021,Araçatuba,1
ROUBO DE CARGA,Fev,2021,Araçatuba,1
ROUBO DE CARGA,Mar,2021,Araçatuba,0
ROUBO DE CARGA,Abr,2021,Araçatuba,0
ROUBO DE CARGA,Mai,2021,Araçatuba,2
ROUBO DE CARGA,Jun,2021,Araçatuba,0
ROUBO DE CARGA,Jul,2021,Araçatuba,0
ROUBO DE CARGA,Ago,2021,Araçatuba,1
ROUBO DE CARGA,Set,2021,Araçatuba,1
ROUBO DE CARGA,Out,2021,Araçatuba,0
ROUBO DE CARGA,Nov,2021,Araçatuba,2
ROUBO DE CARGA,Dez,2021,Araçatuba,1
FURTO - OUTROS,Jan,2021,Araçatuba,612
FURTO - OUTROS,Fev,2021,Araçatuba,645
FURTO - OUTROS,Mar,2021,Araçatuba,615
FURTO - OUTROS,Abr,2021,Araçatuba,584
FURTO - OUTROS,Mai,2021,Araçatuba,616
FURTO - OUTROS,Jun,2021,Araçatuba,655
FURTO - OUTROS,Jul,2021,Araçatuba,586
FURTO - OUTROS,Ago,2021,Araçatuba,595
FURTO - OUTROS,Set,2021,Araçatuba,626
FURTO - OUTROS,Out,2021,Araçatuba,576
FURTO - OUTROS,Nov,2021,Araçatuba,632
FURTO - OUTROS,Dez,2021,Araçatuba,709
FURTO DE VEÍCULO,Jan,2021,Araçatuba,39
FURTO DE VEÍCULO,Fev,2021,Araçatuba,30
FURTO DE VEÍCULO,Mar,2021,Araçatuba,34
FURTO DE VEÍCULO,Abr,2021,Araçatuba,16
FURTO DE VEÍCULO,Mai,2021,Araçatuba,34
FURTO DE VEÍCULO,Jun,2021,Araçatuba,22
